x_cw;cnt_cw;x_log_cw;cnt_log_cw;x_ccw;cnt_ccw;x_log_ccw;cnt_log_ccw;pdf_cw;pdf_cw_exp_regr;pdf_cw_pow_regr;pdf_log_cw;pdf_log_cw_exp_regr;pdf_log_cw_pow_regr;pdf_ccw;pdf_ccw_exp_regr;pdf_ccw_pow_regr;pdf_log_ccw;pdf_log_ccw_exp_regr;pdf_log_ccw_pow_regr
1.66666666666667;665875827878;0.1;1804662528;1.66666666666667;651923640380;0.1;3720441157;0.283359889521518;0.0510905217512674;1;59.4368585621233;4.03027799629637;8.15536527926818;0.277422628174692;1;0.219751764867197;177.369578046181;1;2641.38642522939
5;36401436800;0.103117727459306;1855421030;5;28570668565;0.103117727459306;3745399713;0.0154904363219539;0.00695210793005211;1;58.3582582354139;4.02153199769847;8.15536527926818;0.0121580956281786;1;0.0161199694540637;170.522961170756;1;2445.68456240665
8.33333333333333;2473233428;0.106332657163716;1907479854;8.33333333333333;9882352992;0.106332657163716;3769558676;0.00105247122898626;0.000946003348848057;1;57.2954066979585;4.01253319852596;8.15536527926818;0.00420538260890896;1;0.00478431828358343;163.898583662905;1;2264.48236489098
11.6666666666667;205336132;0.109647819614319;1960921166;11.6666666666667;4827049206;0.109647819614319;3793269503;8.73796903901971e-05;0.0001287267610106;1;56.2496702667993;4.0032749285078;8.15536527926818;0.00205412504488488;1;0.00214949092218902;157.506467789751;1;2096.70554401179
15;20366694;0.113066339794964;2015499525;15;2787679822;0.113066339794964;3816548896;8.66693746813096e-06;1.7516406279596e-05;1;55.2131527687987;3.99375038167737;8.15536527926818;0.00118628228035727;1;0.00118248613546737;151.34062513076;1;1941.35940577375
18.3333333333333;2353416;0.116591440117983;2071569717;18.3333333333333;1779043342;0.116591440117983;3839029777;1.00148356471104e-06;2.38353304738711e-06;1;54.1950224345289;3.98395261630439;8.15536527926818;0.000757062405785199;1;0.000733766233886787;145.380505124016;1;1797.52295364037
21.6666666666667;309668;0.120226443461741;2128944328;21.6666666666667;1213069709;0.120226443461741;3861009142;1.31777557608573e-07;3.24337635089221e-07;1;53.1892848931929;3.97387455505018;8.15536527926818;0.000516215344842729;1;0.000493214934082206;139.632181368399;1;1664.34342824645
25;45367;0.123974776302894;2187541147;25;866604145;0.123974776302894;3882339518;1.93056836871363e-08;4.41340226646292e-08;1;52.1934587297543;3.96350898536428;8.15536527926818;0.000368778771932317;1;0.000350955382026128;134.084385312174;1;1541.0312516662
28.3333333333333;7231;0.127839971946302;2247614829;28.3333333333333;640636748;0.127839971946302;3903010403;3.07711329251841e-09;6.00550705756421e-09;1;51.2131790526264;3.95284856014117;8.15536527926818;0.000272619551320232;1;0.000260610775912426;128.731373099755;1;1426.85534626345
31.6666666666667;1273;0.131825673855641;2309100484;31.6666666666667;486057787;0.131825673855641;3922996163;5.41718326839432e-10;8.17195280215328e-10;1;50.2461370987713;3.94188579865669;8.15536527926818;0.00020683929890273;1;0.000200044443328744;123.567020851749;1;1321.13880037105
35;216;0.135935639087853;2371943808;35;376260741;0.135935639087853;3942410366;9.19176422602652e-11;1.11199290851738e-10;1;49.2906156882248;3.93061308780519;8.15536527926818;0.000160115751572275;1;0.000157676676810374;118.589577242043;1;1223.2548551026
38.3333333333333;39;0.140173741834677;2436222397;38.3333333333333;295968490;0.140173741834677;3960930762;1.6596240963659e-11;1.51313677223775e-11;1;48.3478068228931;3.91902268365883;8.15536527926818;0.000125947812392315;1;0.000127004267907346;113.784195623726;1;1132.62318850361
41.6666666666667;10;0.144543977074593;2501876046;41.6666666666667;235739834;0.144543977074593;3978706933;4.2554464009382e-12;2.05899055107342e-12;1;47.4160787714183;3.90710671337216;8.15536527926818;0.000100317829056828;1;0.000104161627336479;109.150729714916;1;1048.70647501209
45;3;0.14905046433862;2568985652;45;189718990;0.14905046433862;3996040820;1.27663392028146e-12;2.80175736073102e-13;1;46.4966351735695;3.89485717745576;8.15536527926818;8.07339043415719e-05;1;8.67416941798276e-05;104.692268118994;1;971.007199830768
48.3333333333333;0;0.153697451593527;2637667110;48.3333333333333;153943389;0.153697451593527;4012550061;0;3.81247223515332e-14;1;45.591074797297;3.88226595244383;8.15536527926818;6.55097881426807e-05;1;7.31863681057924e-05;100.393398592401;1;899.064709324245
51.6666666666667;0;0.158489319246111;2707595723;51.6666666666667;125784899;0.158489319246111;4028218104;0;5.18779561268706e-15;1;44.6934279623902;3.86932479398205;8.15536527926818;5.35270929045124e-05;1;6.24534042896296e-05;96.2493199690192;1;832.452479953972
55;0;0.163430584272314;2779139279;55;103343731;0.163430584272314;4043062572;0;7.0592575260904e-16;1;43.8096878786797;3.85602534036273;8.15536527926818;4.39773735505082e-05;1;5.38256850124798e-05;92.2561136016738;1;770.775589559471
58.3333333333333;0;0.168525904475075;2852170977;58.3333333333333;85290656;0.168525904475075;4057230707;0;9.60583657108501e-17;1;42.937366389422;3.84235911653577;8.15536527926818;3.62949837690676e-05;1;4.67975705480246e-05;88.4126476891129;1;713.668375993796
61.6666666666667;0;0.173780082874938;2926701455;61.6666666666667;70696813;0.173780082874938;4070475141;0;1.30710766520926e-17;1;42.0763704582093;3.8283175386248;8.15536527926818;3.00846517156558e-05;1;4.10048041442154e-05;84.7090477296165;1;660.792269231973
65;0;0.179198072237533;3002683139;65;58767345;0.179198072237533;4082860840;0;1.77863784773503e-18;1;41.2258246759266;3.81389191897928;8.15536527926818;2.50081302332368e-05;1;3.61799582201217e-05;81.1426655967142;1;611.833784099949
