x_cw;cnt_cw;x_log_cw;cnt_log_cw;x_ccw;cnt_ccw;x_log_ccw;cnt_log_ccw;pdf_cw;pdf_cw_exp_regr;pdf_cw_pow_regr;pdf_log_cw;pdf_log_cw_exp_regr;pdf_log_cw_pow_regr;pdf_ccw;pdf_ccw_exp_regr;pdf_ccw_pow_regr;pdf_log_ccw;pdf_log_ccw_exp_regr;pdf_log_ccw_pow_regr
205;0;0.650628874865557;7030616294;205;46928;0.650628874865557;3747276954;0;7.39071719881247e-55;1;0.537979617456597;0.212148671278154;0.389842631520679;1.99699601128032e-08;1;1.10786874661242e-06;0.415062085313588;1;1.15659782258651
208.333333333333;0;0.670913709955411;7114933625;208.333333333333;39778;0.670913709955411;3718808702;0;1.00568680619066e-55;1;0.527970849789738;0.209356229096578;0.389842631520679;1.69273157468266e-08;1;1.06167185328053e-06;0.399454921930712;1;1.08190248934892
211.666666666667;0;0.691830970918937;7196141248;211.666666666667;33606;0.691830970918937;3689311726;0;1.36848146795264e-56;1;0.51785173780659;0.206515213671713;0.389842631520679;1.43008540647557e-08;1;1.01808942852805e-06;0.384304931143937;1;1.01203112577348
215;0;0.713400375071256;7273990856;215;28489;0.713400375071256;3659220019;0;1.86215183156724e-57;1;0.507627540753762;0.203625992409256;0.389842631520679;1.21233420059165e-08;1;9.76935760714625e-07;0.369645815959813;1;0.946672190532344
218.333333333333;0;0.735642254459641;7348345762;218.333333333333;24179;0.735642254459641;3628188443;0;2.53391041458308e-58;1;0.49731169807251;0.200689018140133;0.389842631520679;1.02892444929991e-08;1;9.38040930063449e-07;0.355429748145332;1;0.885534262241554
221.666666666667;0;0.758577575029184;7418440316;221.666666666667;20210;0.758577575029184;3596553695;0;3.4480013285088e-59;1;0.486875998582212;0.197704833071824;0.389842631520679;8.6002577113823e-09;1;9.01249251272776e-07;0.341678107850708;1;0.828344740076001
225;0;0.782227956386002;7484650117;225;17292;0.782227956386002;3563844679;0;4.69184431027396e-60;1;0.476369479321138;0.194674072722913;0.389842631520679;7.35851837433072e-09;1;8.66417890253829e-07;0.328334137679912;1;0.774848628301196
228.333333333333;0;0.806615692176613;7546391063;228.333333333333;14719;0.806615692176613;3530583595;0;6.38439517114976e-61;1;0.465777385970476;0.19159746982107;0.389842631520679;6.26359194724572e-09;1;8.33415633296739e-07;0.315435404595267;1;0.724807399302321
231.666666666667;0;0.831763771102671;7603131211;231.666666666667;12072;0.831763771102671;3496651478;0;8.68752222065892e-62;1;0.455090997159767;0.188475858142903;0.389842631520679;5.13717521483459e-09;1;8.02121789940178e-07;0.302958367471349;1;0.677997930041096
235;0;0.857695898590894;7655223943;235;10273;0.857695898590894;3462112667;0;1.18214866578968e-62;1;0.444355259900026;0.185310176272209;0.389842631520679;4.37162035967497e-09;1;7.72425213350368e-07;0.290896481604664;1;0.63421150719831
