0 0
1 0
2 0
3 0
4 0
5 0
6 3.6178e-07
7 1.9898e-06
8 7.7783e-06
9 2.849e-05
10 9.6144e-05
11 0.00027803
12 0.00075739
13 0.0018559
14 0.0041978
15 0.0087795
16 0.016864
17 0.029614
18 0.047203
19 0.068727
20 0.08959
21 0.106
22 0.11306
23 0.10987
24 0.09888
25 0.083268
26 0.066094
27 0.049911
28 0.036085
29 0.024968
30 0.016621
31 0.01091
32 0.0068329
33 0.0040691
34 0.0024154
35 0.0013751
36 0.00075405
37 0.00042066
38 0.00023407
39 0.00012916
40 6.0418e-05
41 2.7224e-05
42 1.3115e-05
43 5.4267e-06
44 1.7185e-06
45 6.3312e-07
