0.001	18.927
0.0010471	18.64
0.0010965	18.432
0.0011482	18.124
0.0012023	17.932
0.0012589	17.736
0.0013183	17.511
0.0013804	17.258
0.0014454	16.986
0.0015136	16.793
0.0015849	16.537
0.0016596	16.303
0.0017378	16.062
0.0018197	15.857
0.0019055	15.582
0.0019953	15.337
0.0020893	15.096
0.0021878	14.861
0.0022909	14.685
0.0023988	14.439
0.0025119	14.179
0.0026303	13.958
0.0027542	13.74
0.002884	13.507
0.00302	13.295
0.0031623	13.079
0.0033113	12.859
0.0034674	12.617
0.0036308	12.382
0.0038019	12.178
0.0039811	11.959
0.0041687	11.749
0.0043652	11.537
0.0045709	11.317
0.0047863	11.105
0.0050119	10.889
0.0052481	10.688
0.0054954	10.474
0.0057544	10.266
0.0060256	10.069
0.0063096	9.8643
0.0066069	9.6574
0.0069183	9.4654
0.0072444	9.273
0.0075858	9.0724
0.0079433	8.8822
0.0083176	8.69
0.0087096	8.4962
0.0091201	8.3206
0.0095499	8.1288
0.01	7.9417
0.010471	7.7658
0.010965	7.5854
0.011482	7.423
0.012023	7.2359
0.012589	7.0622
0.013183	6.8975
0.013804	6.7283
0.014454	6.5681
0.015136	6.3991
0.015849	6.2449
0.016596	6.0834
0.017378	5.9253
0.018197	5.782
0.019055	5.621
0.019953	5.4746
0.020893	5.3313
0.021878	5.1834
0.022909	5.0469
0.023988	4.9082
0.025119	4.7664
0.026303	4.6297
0.027542	4.502
0.02884	4.3722
0.0302	4.2454
0.031623	4.1218
0.033113	4.0003
0.034674	3.8774
0.036308	3.7583
0.038019	3.6468
0.039811	3.5339
0.041687	3.421
0.043652	3.3147
0.045709	3.2079
0.047863	3.1061
0.050119	3.0047
0.052481	2.9071
0.054954	2.8105
0.057544	2.7141
0.060256	2.6212
0.063096	2.531
0.066069	2.4432
0.069183	2.358
0.072444	2.2747
0.075858	2.1934
0.079433	2.114
0.083176	2.038
0.087096	1.9603
0.091201	1.8889
0.095499	1.8163
0.1	1.7461
0.10471	1.6801
0.10965	1.6157
0.11482	1.5521
0.12023	1.4894
0.12589	1.4308
0.13183	1.3734
0.13804	1.3146
0.14454	1.2591
0.15136	1.2077
0.15849	1.1575
0.16596	1.1074
0.17378	1.0603
0.18197	1.0135
0.19055	0.96912
0.19953	0.92622
0.20893	0.88469
0.21878	0.84335
0.22909	0.8049
0.23988	0.76816
0.25119	0.73245
0.26303	0.69712
0.27542	0.66389
0.2884	0.63183
0.302	0.60115
0.31623	0.57139
